StockAcr,Stock_ERA,StockName,SiteName,Country,MapRegion,GeoRegion,Lat,Long,RunTiming,JuvenileType,Point_label,Point_colour,Point_type,Project_Type
ACI,NSA(ACI),Alaska Central Inside,Crystal Lake,US,AK,SEAK,56.6123,-132.8202,Spring,stream,1,yellow,21,existing
AMC,NSA(AMC),Macaulay Hatchery,DIPAC/Macaulay Hatchery,US,AK,SEAK,58.33,-134.46,Spring,stream,1,yellow,21,existing
ADM,SSA(ADM),Alaska Deer Mountain,Deer Mountain,US,AK,SEAK,55.3439,-131.6338,Spring,stream,2,yellow,21,existing
ALP,SSA(ALP),Little Port Walter,Little Port Walter,US,AK,SEAK,56.3841,-134.649,Spring,stream,2,yellow,21,existing
AHC,SSA(AHC),Herring Cove,Herring Cove/Whitman Lake,US,AK,SEAK,55.3439,-131.6338,Spring,stream,NA,NA,NA,existing
ANB,SSA(ANB),Neets Bay,Neets Bay,US,AK,SEAK,55.78659565,-131.4879669,Spring,stream,NA,NA,NA,existing
CHM,CHM,Chickamin,Chickamin River,US,AK,SEAK,55.82,-130.9,Spring,stream,3,yellow,24,existing
CHK,CHK,Chilkat Spring,Chilkat River,US,AK,SEAK,59.295,-135.722,Spring,stream,4,yellow,21,new
TAK,TAK,Taku Spring,Taku River,US,AK,TBR,58.9041017,-133.1422364,Spring,stream,6,yellow,21,new
STI,STI,Stikine Spring,Stikine River,US,AK,TBR,57.1,-132,Spring,stream,7,yellow,21,new
UNU,UNU,Unuk Spring,Unuk River,US,AK,TBR,56.25037568,-130.8405949,Spring,stream,5,yellow,21,new
KLM,KLM/KLY,Kitsumkalum Summer,Deep Creek/Skeena H,CA,BC,NBC,54.591,-128.6534,Summer,ocean,8,cyan,21,existing
ATN,ATN/ATS,Atnarko Summer,Snootli Creek H,CA,BC,CBC,52.3771,-126.608,Summer,ocean,9,cyan,21,new
RBT,RBT,Robertson Cr Fall,Robertson Creek H,CA,BC,WCVI,49.33981,-124.9814,Fall,ocean,NA,white,21,existing
QUI,QUI,Quinsam Fall,Quinsam River H,CA,BC,ECVI,50.0194,-125.3026,Fall,ocean,NA,white,21,existing
PHI,PHI,Phillips ,Gillard Pass,CA,BC,ECVI,50.5809,-125.3725,Fall,ocean,12,white,21,discontinued 2020
PPS,PPS,Puntledge Summer,Puntledge River H,CA,BC,ECVI,49.68178,-125.039,Summer,ocean,NA,cyan,21,existing
BQR,BQR,Big Qualicum Fall,Big Qualicum River H,CA,BC,ECVI,49.38195,-124.6439,Fall,ocean,NA,white,21,existing
NAN,NAN,Nanaimo Fall,Nanaimo River H,CA,BC,ECVI,49.0731,-123.8734,Fall,ocean,NA,white,21,new-discontinued
COW,COW,Cowichan Fall,Cowichan River H,CA,BC,ECVI,48.772527,-123.6666,Fall,ocean,NA,white,21,existing
HAR,HAR,Harrison Fall,Chehalis River H,CA,BC,LFR,49.29729,-121.9354,Fall,ocean,NA,white,21,new
CHI,CHI,Chilliwack Fall (Harrison Stock),Chilliwack River H,CA,BC,LFR,49.07935,-121.6922,Fall,ocean,NA,white,21,existing
CKO,CKO,Chilko ,Spius Creek H/Chehalis,CA,BC,MFR,51.739805,-122.400223,Summer,ocean,19,cyan,21,existing
NIC,NIC,Nicola Spring,Spius Creek H,CA,BC,MFR,50.1299,-120.8304,Spring,stream,20,yellow,21,new
SHU,SHU,Lower Shuswap Summer,Shuswap River-Middle H,CA,BC,MFR,50.5435,-118.9283,Summer,ocean,21,cyan,21,new
MSH,MSH,Middle Shuswap Summer,Shuswap River-Middle H,CA,BC,MFR,50.331167,-118,Summer,ocean,22,cyan,21,new
DOM,DOM,Dome Cr Spring,Penny Creek H,CA,BC,UFR,53.7547,-121.0225,Spring,stream,23,yellow,24,new-discontinued
NSF,NSF,Nooksack Spring Fingerling,Kendall Creek H,US,PS,NPGSD,48.8869,-122.1475,Spring,stream,NA,yellow,21,existing
SAM,SAM,Samish Fall Fingerling,Samish H,US,PS,NPGSD,48.5488,-122.3306,Fall,ocean,NA,white,21,existing
SSF,SSF,Skagit Summer Fingerling,Marblemount H,US,PS,NPGSD,48.527,-121.791,Summer,ocean,NA,cyan,21,existing
STL,STL,Stillaguamish Summer Fingerling,Stillaguamish H,US,PS,NPGSD,48.27644,-121.7591,Summer,ocean,NA,cyan,21,existing
SKF,SKF (SKS/SKF),Skagit Spring Fingerling,Marblemount H,US,PS,NPGSD,48.3384,-121.5061,Spring,ocean,NA,yellow,21,existing
SKY,SKY,Skykomish Fall Fingerling,Wallace River H,US,PS,NPGSD,47.8539,-121.6819,Summer,ocean,NA,cyan,21,new
GRN(SPS),SPS(GRN),Green River Fall Fingerling,Soos Creek H,US,PS,SPGSD,47.3025,-122.1744,Fall,ocean,NA,white,21,existing
GRO(SPS),SPS(GRO),Grovers Creek Fall Fingerling,Grovers Creek H,US,PS,SPGSD,47.773,-122.5574,Fall,ocean,NA,white,21,existing
ISS(SPS),SPS (ISS),Issaquah,Issaquah creek,US,PS,SPGSD,47.52804,-122.03945,Fall,ocean,NA,white,21,existing
NIS,NIS,Nisqually Fall Fingerling,Clear Creek H,US,PS,SPGSD,47.0359,-122.6752,Fall,ocean,NA,white,21,existing
SPY,SPY,South Puget Sound Fall Yearling,Tumwater Falls H,US,PS,SPGSD,47.0241,-122.9016,Fall,stream,NA,white,24,existing
WRY,WRY,White River Spring Yearling,White River H,US,PS,SPGSD,47.1715,-122.0032,Spring,stream,NA,yellow,24,existing
ELW,ELW,Elwha Fall Fingerling,Lower Elwha Hatchery,US,WA,JDF,48.13272,-123.552146,Summer,ocean,NA,cyan,21,existing
GAD,GAD,George Adams Fall Fingerling,George Adams H,US,PS,HOODC,47.3072,-123.1602,Fall,ocean,NA,white,21,existing
HOK,HOK,Hoko Fall Fingerling,Hoko Falls H,US,WA,WACST,48.20308,-124.4265,Fall,ocean,NA,white,21,existing
QUE,QUE,Queets Fall Fingerling,Salmon R Fish Culture C,US,WA,WACST,47.5289,-124.1845,Fall,ocean,NA,white,21,existing
SOO,SOO,Sooes Fall Fingerling,Makah NFH (Sooes R),US,WA,WACST,48.2897,-124.6489,Fall,ocean,NA,white,21,existing
LRH,LRH,Columbia Lower River H,Big Creek H,US,CR,LCOLR,45.8504,-124.4039,Fall,ocean,41,white,21,existing
CWF,CWF,Cowlitz Fall Tule,Cowlitz Salmon H,US,CR,LCOLR,46.146,-123.5806,Fall,ocean,42,white,21,existing
LRW,LRW,Lewis River Wild,Lewis River,US,CR,LCOLR,45.8504,-122.7824,Fall,ocean,43,white,21,existing
WSH,WSH,Willamette Spring,Willamette H,US,CR,LCOLR,43.7432,-122.4438,Spring,stream,44,yellow,21,existing
SPR,SPR,Spring Creek Tule,Spring Creek NFH,US,CR,MCOLR,45.7279,-121.5432,Fall,ocean,45,white,21,existing
HAN,HAN,Hanford Wild,Hanford Wild,US,CR,UCOLR,46.6486,-119,Fall,ocean,46,white,21,existing
SMK,SMK,Okanagan ,Similkameen and Omak Pond,US,CR,UCOLR,48.926901,-119.433745,Summer,ocean,47,cyan,21,new
LYF,LYF,Lyons Ferry,Lyons Ferry H,US,CR,SNAK,46.3546,-118.1335,Fall,ocean,50,white,21,existing
SUM,SUM,Columbia Summer,Wells H,US,CR,UCOLR,47.9469,-119.8706,Summer,ocean,48,cyan,21,existing
URB,URB,Upriver Brights,Priest Rapids H,US,CR,UCOLR,46.724,-120,Fall,ocean,49,white,21,existing
SRH,SRH,Salmon River,Salmon River H,US,OR,ORCST,45.0172,-123.9384,Fall,ocean,51,white,21,existing
ELK,ELK,Elk River,Elk River H,US,OR,ORCST,42.7388,-124.4039,Fall,ocean,52,white,21,new
UWA,UWA,University Washington accelerated,,US,WA,SPGSD,47.69597326,-122.3118313,Fall,ocean,NA,white,24,new
SQP,SQP,Squaxin Net Pens,,US,WA,SPGSD,47.12456568,-123.0832379,Fall,ocean,NA,white,24,new
