Stock Name,No.,Loc,Agg,Agg Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Average
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift,1,1,1,Spring 5.2,350,350,300,570,700,1200,1200,900,1000,1500,850,1200,600,980,1000,886,1646,1508,1195,1098,375,486,982,1516,835,520,335,643,328,422,747,378,363,208,392,823,435,260,174,134,2,268,183,402,687
Fraser,2,1,1,Spring 5.2,1800,4000,1800,1800,4300,5814,6050,6500,3500,4000,5000,6000,4027,3224,3300,4240,5862,2837,2335,1289,2081,2262,3832,4302,3048,2062,2538,2142,1021,1858,3281,1500,1046,768,1432,4345,1443,3022,1114,1283,1090,4374,1951,2786,3006
Horsey,3,1,1,Spring 5.2,25,20,20,15,100,250,325,175,200,180,100,100,50,90,130,180,172,22,111,57,14,128,94,308,288,62,34,146,22,0,111,68,49,48,80,132,52,68,22,23,0,18,29,2,94
Nevin,4,1,1,Spring 5.2,20,12,5,40,45,60,100,125,110,140,60,20,55,74,80,90,131,29,45,161,46,62,57,132,385,238,77,174,42,20,174,58,86,38,66,145,71,51,68,23,0,19,74,132,83
Holmes,5,1,1,Spring 5.2,450,500,400,900,1100,1750,2400,3000,3000,2700,1500,2100,1500,2150,2100,1877,2803,2774,2668,1262,523,1784,1018,3740,4110,1376,821,1456,763,454,2187,212,420,203,1069,2011,860,658,428,637,140,528,188,805,1439
McKale,6,1,1,Spring 5.2,10,4,10,40,15,12,5,40,15,75,35,40,14,15,39,56,23,0,39,20,23,32,9,122,49,68,78,11,17,18,118,29,35,5,25,23,28,8,6,0,24,37,15,43,30
Twin,7,1,1,Spring 5.2,25,0,10,20,10,45,50,50,105,70,20,70,42,50,60,43,0,75,0,88,42,52,49,73,160,102,70,100,20,34,196,23,17,51,73,97,21,24,56,52,44,46,2,58,52
Goat,8,1,1,Spring 5.2,15,85,20,50,10,130,85,150,160,110,50,100,107,100,55,293,400,442,229,186,86,212,411,820,569,183,151,172,114,145,311,75,55,35,125,237,115,65,42,55,10,79,148,112,161
Morkill,9,1,1,Spring 5.2,200,429,150,359,544,150,400,1000,2000,1800,400,1000,1000,1800,904,1231,314,500,549,1788,591,694,752,0,241,1044,386,549,410,185,1309,482,71,6,300,466,828,364,231,241,563,592,516,614,635
Walker,10,1,1,Spring 5.2,200,250,140,175,125,400,500,1000,500,800,75,200,100,500,150,240,91,328,94,392,206,252,177,381,543,277,103,234,160,189,494,75,80,40,294,294,46,128,166,112,0,77,122,213,248
Torpy,11,1,1,Spring 5.2,750,550,510,300,1000,1500,1500,3000,2800,2000,1900,2000,2000,2600,1000,1921,1422,738,1042,2293,1503,1466,1755,2565,4457,2730,1027,1221,886,941,1966,905,698,615,1038,1160,1063,715,588,643,40,601,909,1048,1395
Dome,12,1,1,Spring 5.2,206,240,10,80,75,200,450,450,295,205,135,486,665,556,718,728,666,640,665,435,342,280,385,574,505,228,253,248,181,226,369,255,166,161,241,494,343,204,129,135,315,331,288,343,339
Slim,13,1,1,Spring 5.2,1500,1900,1335,1800,2000,1800,5000,5500,3750,5066,2000,5000,2500,1725,1300,2473,4652,1994,2857,2049,1235,1624,2212,3021,3676,2278,2161,2204,654,1389,3173,1465,811,1600,1952,2162,2654,1403,718,703,1845,1795,2270,2271,2306
Bowron,14,1,1,Spring 5.2,1595,2362,1488,1654,5079,5814,8694,13008,14652,6979,7087,7678,4961,5516,7253,10754,8111,3746,6415,7082,3430,2586,5490,7059,10047,8114,4594,3939,1821,3427,4902,3066,2469,2614,3897,5298,6879,3558,1914,2120,3485,4486,4347,6409,5361
McGregor,15,1,1,Spring 5.2,1561,824,731,1550,858,1605,4224,4207,4152,3166,1661,1664,1439,5654,2572,1838,1814,2935,1818,2528,1740,2251,2420,3753,4100,3263,1317,1353,1047,1265,2316,766,585,807,1199,1770,985,779,471,447,30,1549,1697,1768,1920
Willow,16,1,1,Spring 5.2,836,557,490,501,869,390,1560,1616,1783,2006,1337,2006,613,780,669,1304,884,1340,1869,1588,716,1277,893,1046,1739,1887,1010,1205,380,667,1002,631,659,480,592,1474,868,395,301,239,1810,1587,960,800,1037
Salmon (PG),17,1,1,Spring 5.2,750,500,175,300,250,684,350,450,700,1200,450,700,300,300,50,771,901,1020,560,1197,858,704,480,587,2448,1684,666,547,269,530,731,308,509,125,313,1651,585,355,225,235,548,576,502,598,628
Stuart,18,2,2,Summer 5.2,750,1800,140,600,475,500,3000,3065,5052,3065,1659,6064,7500,15025,1038,2420,3730,7415,6258,4642,3875,1875,1954,4489,6776,0,3270,4588,1896,2912,3749,3160,2817,1516,2063,3724,5101,1697,1172,1067,2174,2613,2570,4612,3270
Nechako,19,2,2,Summer 5.2,1800,2038,2814,1590,1114,2099,2591,2685,2042,2801,2928,2628,2371,2451,685,1138,1736,2005,2021,1919,1876,3459,5526,3397,5121,4978,3393,6803,1428,4670,2310,6915,4200,1021,1117,5183,8291,3141,505,1673,2900,1800,2770,4076,2909
Stellako,20,2,2,Summer 5.2,75,50,25,13,0,0,30,75,50,50,14,0,23,31,17,10,24,20,34,15,18,28,31,0,0,5,231,0,0,2,3,7,3,0,0,15,6,3,2,2,0,0,2,2,21
Endako,21,3,1,Spring 5.2,75,50,32,65,50,300,300,300,500,300,200,75,200,10,20,200,125,167,67,191,171,160,275,292,277,183,252,118,49,295,166,274,114,77,158,125,117,49,31,63,195,135,74,152,160
Chilako,22,3,1,Spring 5.2,200,200,150,150,75,150,175,150,175,250,50,425,150,150,25,119,200,320,186,39,115,20,151,229,243,106,203,168,78,123,171,91,128,43,100,125,417,57,6,20,90,15,38,24,139
Blackwater,23,3,1,Spring 5.2,305,356,234,297,451,582,863,1070,1050,904,672,841,597,748,749,1088,832,659,753,642,739,393,724,675,1709,559,258,342,234,396,481,577,372,388,456,1061,611,300,192,289,295,636,871,513,608
Cottonwood,24,3,1,Spring 5.2,200,300,300,325,900,900,1500,1473,2700,1193,800,1000,1000,2200,4470,4690,2100,1900,3329,2026,709,1208,788,1348,1572,1235,559,749,393,225,535,833,376,519,538,930,654,363,157,183,440,419,393,533,1113
Quesnel,25,4,2,Summer 5.2,900,1000,800,1000,1500,1800,2000,9000,4756,6300,3000,6195,4984,3551,5086,1746,3232,3538,3662,5191,1770,1778,2418,5514,5265,2945,3173,2665,1773,1383,1875,2319,1428,1560,2579,1859,3882,1021,503,512,342,289,1560,1637,2711
Cariboo,26,4,2,Summer 5.2,375,498,300,400,700,600,1150,1400,1179,1981,1160,2500,1782,1069,2480,2010,817,1850,1800,480,364,382,503,1097,2198,289,526,949,546,449,877,852,408,238,537,242,518,145,138,214,58,245,160,700,845
Horsefly,27,4,1,Spring 5.2,350,350,200,365,300,250,250,250,250,250,400,1000,500,400,200,4154,185,400,115,22,22,174,281,380,245,375,509,344,51,102,209,237,143,46,268,192,334,225,71,25,170,215,260,60,344
Chilko,28,5,2,Summer 5.2,3831,5704,4164,6033,6796,4826,5156,8574,10037,9001,3497,7625,8313,12358,7168,6431,11603,18543,17775,15952,9951,10221,12062,12207,23407,17791,8603,5924,5009,5908,9708,7490,8396,4255,4200,13350,10985,4174,3680,2263,5095,6322,5473,13695,8717
Chilcotin Upper,29,5,1,Spring 5.2,141,165,108,138,209,269,399,495,486,419,311,389,276,346,347,504,289,732,358,589,277,229,243,520,686,220,102,160,89,240,243,171,66,82,223,392,215,115,89,63,75,53,194,268,272
Chilcotin Lower,30,5,1,Spring 5.2,2344,2188,938,860,1563,1485,2344,5157,5939,5771,4063,4219,4907,3885,5157,10633,5848,3571,6251,2282,4526,4643,2460,3269,5307,1663,2358,1605,563,2363,1097,2649,1178,1111,1267,9023,4140,1228,630,1196,2790,4208,2438,4126,3301
Elkin,31,5,1,Summer 5.2,200,250,200,298,331,300,400,400,450,300,200,250,600,540,450,508,786,1250,806,651,417,493,458,420,1038,828,464,651,269,413,532,1085,400,215,293,528,1052,205,48,94,290,485,118,402,463
Taseko,32,5,2,Summer 5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,677,0,0,473,449,968,156,399,1175,542,1291,125,170,307,789,343,538,1095,522,1376,212,380,282
Bridge,33,6,1,Spring 5.2,200,75,400,80,210,582,956,836,600,638,750,375,198,897,950,615,865,1887,1968,488,906,769,198,969,920,1115,228,109,138,112,11,51,81,436,140,947,481,276,405,53,111,53,345,534,522
Portage,34,6,2,Summer 5.2,100,75,100,150,70,138,225,98,50,125,330,175,135,50,330,36,10,300,32,171,120,46,248,445,158,103,83,245,51,217,74,123,65,37,34,77,83,12,20,35,229,42,28,70,121
Seton,35,6,2,Summer 5.2,20,75,30,50,24,157,114,105,65,75,115,60,35,59,150,69,46,67,65,56,39,46,9,6,5,51,0,0,0,0,0,0,32,8,2,0,57,19,8,0,18,29,29,0,41
Mahood,36,7,2,Summer 5.2,260,150,200,250,300,400,250,500,300,700,180,500,20,250,100,180,130,415,260,341,91,245,172,166,929,317,269,217,74,52,214,6,65,46,38,62,105,2,2,0,26,17,35,18,201
Clearwater,37,7,2,Summer 5.2,1500,2500,3000,3000,4000,2800,3800,6070,3516,6740,2491,7320,2444,2370,2700,5450,5100,7780,7830,7007,3837,4563,3588,5689,6234,4622,3519,3768,1895,3307,5980,1102,1198,1988,2163,2769,5194,697,1406,514,783,3532,3780,5580,3753
Finn,38,7,1,Spring 5.2,425,600,1000,850,700,1500,1300,1499,1542,1857,1141,1100,460,630,1300,1841,810,1569,725,369,524,1511,1121,480,45,538,189,198,38,97,91,72,91,91,17,62,58,40,20,9,149,111,32,109,612
Raft,39,7,2,Summer 5.2,175,200,200,375,175,500,525,700,650,800,812,550,446,280,190,1028,1371,870,1230,405,1095,936,237,443,311,741,132,152,38,395,194,128,37,166,134,203,134,35,29,95,106,122,106,146,400
Barriere,40,7,2,Summer 5.2,15,15,100,0,65,75,50,5,50,100,260,100,50,176,50,44,21,5,195,166,117,77,362,377,131,306,220,215,100,101,37,132,112,192,115,132,149,62,11,60,89,329,29,309,121
Louis,41,7,3,Spring 4.2,20,45,110,150,20,100,250,150,25,80,325,50,10,6,20,510,800,420,480,158,183,611,349,481,198,105,40,315,18,95,6,154,72,189,117,289,80,155,25,45,89,106,137,69,174
North Thompson,42,7,2,Summer 5.2,1200,750,2250,2500,2500,1200,1500,2652,2743,2258,1578,1500,2183,2020,2400,4164,2830,2375,2130,2156,3375,11678,11959,2669,1989,2040,990,8088,1320,1304,2610,406,803,238,770,412,4659,340,383,164,211,1307,1790,3211,2400
Bessette,43,8,3,Spring 4.2,69,69,55,14,14,138,277,318,0,69,263,277,249,111,346,277,353,550,94,167,399,91,459,245,207,175,180,276,5,77,28,202,8,14,195,96,144,6,17,11,7,122,0,25,152
Middle Shuswap,44,8,4,Summer 4.1,689,689,689,689,426,948,1204,1556,2563,2421,2497,5406,6595,6575,3407,5281,4036,6446,4952,5796,3275,3488,3800,7388,6187,1984,2555,5239,1230,1777,1799,5117,1117,359,2393,2274,3152,570,896,2213,2168,2180,2028,1835,2907
Lower Shuswap,45,8,4,Summer 4.1,16453,5723,8248,2894,5396,7582,10539,20763,16851,24625,18442,22345,16621,23131,9416,29064,16770,35155,22854,34644,47660,28061,36031,54578,40256,17168,18133,59329,16168,15160,25530,71683,19218,4346,29061,44240,39716,6735,13731,17404,29921,25859,29763,34186,24351
Eagle,46,8,1,Spring 5.2,300,250,250,400,250,775,1250,1295,1175,1259,1004,1477,907,1474,1192,1200,700,780,915,1004,624,1085,1397,1458,1583,867,427,521,334,655,574,1711,426,426,885,828,857,268,909,688,772,711,2526,669,888
Salmon (ST),47,8,1,Spring 5.2,300,360,300,700,300,850,1670,871,641,1252,1613,1055,643,300,2055,1261,669,659,563,284,319,426,1365,971,151,395,426,618,278,554,326,654,174,333,679,848,181,90,218,179,422,393,457,544,622
Adams,48,8,4,Summer 4.1,1000,350,700,500,250,650,750,2500,2000,1600,1250,1397,2488,1245,885,1168,1900,2200,3397,4182,2335,2266,5889,3090,1920,1704,3837,6344,3181,3474,6397,9691,4188,2835,6499,5322,12753,3246,4319,3406,8448,5252,6526,3117,3328
Little River,49,8,4,Summer 4.1,700,400,400,100,100,250,450,350,200,400,400,400,250,600,2123,491,150,3000,1358,1246,1163,2043,9885,2799,2488,6014,9046,8590,7352,11446,7286,12454,16954,7196,17227,3411,25296,20047,22331,5577,34190,23054,39416,23604,7551
South Thompson,50,8,4,Summer 4.1,6000,3000,6000,3500,3000,6000,7000,6500,8500,12000,10000,6000,8000,12000,4000,2118,5500,21600,27000,41306,13954,10806,22610,43804,38178,29733,61837,100384,45352,57280,45036,58851,84102,32952,63769,29107,96205,62912,43532,18340,94589,91590,98286,48478,33880
Lower Thompson,51,8,4,Summer 4.1,3401,1401,2189,1055,1259,2110,2749,4337,4111,5611,4455,4855,4650,5971,2736,5227,3900,9366,8176,11929,1815,3205,6904,18927,12262,10010,13080,23646,8549,16898,11821,12045,13783,5174,16368,4433,13671,5815,11578,9682,3694,20171,23983,15160,8458
Deadman,52,9,3,Spring 4.2,50,250,25,600,162,1626,1501,1026,541,1287,644,532,522,379,1708,1563,888,1988,1569,765,812,715,1207,528,2044,1155,427,1237,296,1308,189,1120,413,948,252,2282,431,720,424,251,448,431,615,1441,848
Bonaparte,53,9,3,Spring 4.2,0,75,25,150,32,818,800,1379,520,863,1062,584,2292,1936,3673,4503,4385,4673,9561,1961,1979,5328,6285,8370,9609,6130,4891,1954,1081,5421,1288,2412,1750,3075,2518,12651,5475,5249,2903,5,960,3448,1304,372,3040
Coldwater,54,9,3,Spring 4.2,300,710,200,800,547,598,2061,2234,709,279,1200,411,399,1424,1594,365,1130,1593,505,398,277,580,855,1417,1290,1083,174,573,79,463,60,334,259,861,235,1213,119,532,132,155,327,375,149,412,668
Spius,55,9,3,Spring 4.2,50,200,100,200,102,256,100,484,475,222,661,107,326,320,965,379,650,684,636,446,166,766,709,932,1242,1950,288,633,52,292,251,256,46,718,414,1175,300,342,123,110,293,270,229,552,443
Nicola,56,9,3,Spring 4.2,3017,6180,3258,4737,2407,4679,7088,8180,4823,3701,4972,3419,3599,5745,5202,9653,10774,17983,9747,1724,8281,8309,9105,13022,14630,10258,3368,5211,1126,4534,694,5410,2880,5842,3612,7249,4963,2299,1853,1775,4030,4134,4179,7608,5801
Nahatlatch,57,10,1,Spring 5.2,25,200,30,16,30,50,240,110,75,50,51,50,61,100,200,35,86,10,31,8,46,40,97,169,89,54,46,46,25,35,17,2,11,65,34,2,6,17,8,11,84,71,30,86,58
Maria Slough,58,10,4,Summer 4.1,75,100,20,50,50,30,200,110,4,67,50,25,152,195,90,171,128,100,100,176,220,282,422,927,782,263,424,321,713,682,645,617,1509,328,1043,346,1238,105,71,0,346,48,34,40,302
Birkenhead,59,10,1,Spring 5.2,241,340,135,475,640,350,283,223,113,501,509,353,265,738,268,371,162,292,573,567,147,404,703,512,480,202,1491,1259,1968,234,631,1520,941,624,224,383,508,238,320,144,178,191,134,275,480
Harrison,60,11,5,Fall,78000,52000,104000,114400,31200,122401,175417,163327,79954,35581,76083,178852,92077,132383,120486,99657,28835,38641,71955,201261,105536,79141,109836,84410,247918,140270,88786,60637,76665,41805,70281,103692,123879,44691,43160,44915,101874,41698,30140,46991,45872,43454,36855,82091,88434
Chilliwack,61,11,5,Fall,50,50,50,56,100,658,1492,4469,17271,14782,3333,1795,9353,38177,20182,8237,31825,24268,82805,81512,77251,68931,71734,63476,55126,56828,33900,48392,26196,41797,15188,81141,52985,20405,53121,60754,35234,39608,25233,27148,74128,39528,58580,78740,35134
Pitt,62,10,1,Spring 5.2,250,200,325,300,300,0,0,300,350,850,375,450,150,300,175,378,289,229,262,223,155,188,216,276,180,230,188,211,103,198,105,85,178,103,124,75,177,49,74,175,18,46,86,11,204
Blue,63,9,1,Spring 5.2,15,20,0,59,89,15,75,20,50,55,20,30,0,40,6,48,35,0,0,110,11,235,88,480,329,152,89,212,117,141,63,152,228,105,142,80,101,134,72,52,275,362,249,260,109
Lemieux,64,7,2,Summer 5.2,0,10,15,5,10,11,25,25,0,10,10,0,0,49,4,4,38,17,54,46,198,115,117,155,0,194,42,45,5,54,17,34,0,22,29,54,5,8,5,5,11,2,11,23,34
Upper Adams,65,8,4,Summer 4.1,33,14,0,10,12,21,27,43,40,55,44,48,12,59,150,51,128,220,275,100,107,60,109,35,150,238,128,165,20,150,81,55,70,97,161,105,226,117,114,101,75,0,0,29,85
Scotch,66,8,1,Spring 5.2,1,2,0,0,0,3,4,5,5,4,3,4,3,4,4,5,4,3,4,3,2,3,3,4,5,3,2,2,1,6,3,23,5,0,0,2,0,0,0,0,2,2,5,0,3
Seymour,67,8,1,Spring 5.2,10,23,0,20,0,15,55,68,66,57,42,53,50,47,6,69,53,42,48,41,28,34,39,52,146,42,28,28,16,23,14,56,28,17,31,23,51,9,26,62,35,12,143,46,40
Stave,68,10,5,Fall,306,204,408,449,123,482,693,658,381,197,311,708,398,669,551,423,238,247,607,891,528,419,820,153,1136,1138,1321,427,403,328,500,250,693,50,9,414,50,319,217,291,0,0,374,630,441
Baker ,69,4,1,Spring 5.2,125,146,96,122,185,238,354,439,430,370,275,300,400,250,300,250,250,150,292,360,34,282,718,420,423,272,183,31,101,75,224,155,163,98,146,300,208,124,79,82,26,114,14,14,219
Big Silver,70,11,2,Summer 5.2,75,20,100,20,75,50,30,25,71,79,42,81,69,92,51,57,72,105,102,87,61,82,93,82,120,81,134,209,62,20,38,32,63,88,78,38,94,48,105,20,31,66,60,12,69
Chilliwack Su,71,11,2,Summer 5.2,542,720,687,776,862,734,991,1687,1474,1645,872,1719,675,1927,1071,797,1501,2187,2135,1324,1280,1711,1933,515,1510,692,720,1695,700,635,906,1167,1041,587,1841,1112,1416,1122,874,862,1443,2439,2353,3265,1276
Douglas,72,11,2,Summer 5.2,5,6,6,25,15,6,9,15,0,14,8,15,13,17,9,10,13,19,19,16,11,15,17,46,0,7,0,0,6,0,12,10,9,5,7,12,16,0,29,0,0,34,8,15,11
Holliday,73,1,1,Spring 5.2,17,20,13,16,25,32,47,59,58,50,37,46,33,41,41,60,8,14,45,18,25,15,74,126,48,54,17,72,6,6,86,14,11,25,31,28,5,22,2,15,26,27,9,26,33
Kazchek,74,2,2,Summer 5.2,25,3,2,3,0,0,5,6,5,6,3,6,5,7,4,5,5,0,8,0,0,0,0,0,3,8,4,6,3,35,18,0,0,6,14,0,0,0,0,5,0,0,2,0,5
Kuzkwa,75,2,2,Summer 5.2,75,25,13,15,10,0,0,125,10,100,72,0,118,158,88,30,123,20,48,149,105,140,215,300,345,245,265,111,97,639,189,225,37,35,80,75,117,37,35,42,22,25,51,28,105
Narcosli,76,3,1,Spring 5.2,100,117,77,98,148,191,284,352,150,297,25,300,300,200,250,350,250,150,251,125,162,218,383,149,584,218,147,60,81,48,180,124,22,78,118,241,167,99,63,66,90,47,5,74,169
Naver,77,3,1,Spring 5.2,128,149,98,125,189,244,100,100,100,379,282,100,300,400,250,250,125,150,358,880,52,231,240,281,489,278,188,214,103,142,229,158,104,100,150,307,213,127,80,84,75,327,29,88,204
Pinchi,78,2,2,Summer 5.2,25,9,9,10,0,0,0,2,18,125,11,0,18,24,13,15,19,27,11,2,11,45,11,0,15,25,40,17,17,60,25,9,5,2,18,8,5,3,9,2,4,9,9,0,16
Sloquet,79,11,2,Summer 5.2,20,0,25,25,15,27,36,62,54,60,32,62,53,70,39,43,55,80,78,67,47,63,71,97,86,139,43,126,26,11,51,43,38,20,28,50,69,32,58,9,12,22,35,62,49
Small,80,1,1,Spring 5.2,21,24,16,20,30,39,58,72,71,61,45,57,40,50,50,73,0,49,34,25,37,34,48,268,212,6,15,77,49,0,20,5,45,5,0,15,20,8,0,2,31,33,3,11,40
Tipella,81,11,2,Summer 5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wap,82,10,4,Summer 4.1,15,6,9,5,5,9,12,19,18,24,19,21,20,26,12,22,17,30,80,117,99,40,191,149,52,34,56,105,45,55,5,15,2,27,0,9,5,51,2,12,0,86,3,0,35
McKinley,83,4,1,Spring 5.2,30,35,23,29,44,57,85,100,103,89,66,279,58,73,101,218,81,65,90,18,115,31,199,81,17,65,44,44,24,22,9,0,3,2,12,42,0,11,0,0,0,48,0,5,55
Chehalis,84,10,2,Summer 5.2,397,527,503,568,631,538,725,1235,1079,1204,639,1238,1055,1411,325,734,1003,1030,2182,703,565,637,1458,990,1486,1511,1000,1241,513,1589,1014,854,1305,410,1087,1186,279,1160,324,262,501,923,479,641,890
Total,,,,,138690,106642,154487,163726,88641,196801,280707,313330,227988,190258,181317,310162,212379,314332,241491,253425,190530,253807,334594,464151,318821,282670,364146,387243,545742,359581,293611,385993,217488,245460,247566,412050,360688,155465,276380,290298,410736,220739,177631,153054,330745,307330,346667,364107,274356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Stocks Total,,,,,1598,1806,1676,1855,2234,2167,2735,4297,3641,4503,2427,4223,3157,4747,2606,2914,3523,4076,5733,3891,2605,3544,5650,3504,5391,3636,2856,4007,1832,3337,3006,2812,2847,1489,3609,3424,2615,2844,1660,1463,2261,4201,3060,4241,3175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spring 4.2,3506,7529,3773,6651,3284,8215,12077,13771,7093,6501,9127,5380,7397,9921,13508,17250,18980,27891,22592,5619,12097,16400,18969,24995,29220,20856,9368,10199,2657,12190,2516,9888,5428,11647,7343,24955,11512,9303,5477,2352,6154,8886,6613,10479,11127
,,,,Spring 5.2,16097,18752,12318,15662,23769,30683,45484,56416,55350,48854,35394,44343,31473,39397,39496,57336,43858,34725,39708,33826,23557,28485,32827,43408,52940,34948,23570,23532,12974,17862,28873,19909,13007,12578,18831,38614,26797,15906,10106,10542,16293,25194,22537,26833,29615
,,,,Summer 5.2,12364,16425,15683,17704,19667,16762,22612,38511,33652,37539,19912,38588,32893,43985,24450,26929,34265,49918,48735,41546,29224,39044,44119,39105,57126,38392,27570,38683,15983,24556,31608,26642,23752,12780,17396,31398,43007,14306,9884,8995,14867,22028,21669,38884,28708
,,,,Summer 4.1,28367,11682,18255,8804,10499,17600,22931,36178,34287,46804,37157,40497,38789,49801,22818,43594,32529,78117,68192,99495,70628,50251,85841,131697,102275,67149,109096,204122,82610,106922,98600,170528,140943,53314,136520,89247,192262,99599,96574,56735,173431,168240,200039,126449,80897
,,,,Fall,78356,52254,104458,114905,31423,123541,177602,168454,97606,50560,79727,181355,101828,171229,141219,108317,60898,63156,155367,283664,183315,148491,182390,148039,304180,198236,124007,109456,103264,83930,85969,185083,177557,65146,96290,106083,137158,81625,55590,74430,120000,82982,95809,161461,124009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
